group1,group2,group3,group4,id,temp,x,y,z
85588836961938,74498597664276,32758682664115,3.3292212304066e+14,19.402010050251,1273.5963098168,20.26,19.402010050251,0
81802708221581,74619629355645,33052078854943,3.365159550307e+14,14.81608040201,922.99689485511,20.26,14.81608040201,0
82008433686056,74613207441077,33039756774459,3.3639548888787e+14,14.933668341709,922.95276380919,20.26,14.933668341709,0
82219238257558,74606823943093,33026814443999,3.3627314778499e+14,15.051256281407,924.52561636707,20.26,15.051256281407,0
82437653241194,74598331568084,33009144716322,3.361109747011e+14,15.168844221106,929.85889579567,20.26,15.168844221106,0
82662749972994,74589391292208,32990136101947,3.3594206661026e+14,15.286432160804,938.28587098473,20.26,15.286432160804,0
82894265632938,74579723844048,32969165489388,3.3576126080584e+14,15.404020100503,951.09057825854,20.26,15.404020100503,0
83131458492156,74569241480983,32946134199800,3.3556772841187e+14,15.521608040201,968.2890518491,20.26,15.521608040201,0
83367744177588,74558221972558,32921307069416,3.353637195336e+14,15.639195979899,993.92889150056,20.26,15.639195979899,0
83592421724949,74547679185375,32897057711395,3.3516173292892e+14,15.756783919598,1026.6339153863,20.26,15.756783919598,0
83801519104215,74538027854573,32874655969522,3.3496930825149e+14,15.874371859296,1056.7718947341,20.26,15.874371859296,0
85583941256499,74496203337824,32755593336692,3.3294882221136e+14,19.166834170854,1194.8903362907,20.26,19.166834170854,0
85603334840919,74496101285914,32755290391799,3.3291952494107e+14,19.284422110553,1239.5196135951,20.26,19.284422110553,0
81602860525614,74626527495535,33064816934794,3.366442076103e+14,14.698492462312,922.99932686386,20.26,14.698492462312,0
85555368676493,74502585372170,32764177761667,3.3294270647807e+14,19.51959798995,1301.4993994792,20.26,19.51959798995,0
85484883927676,74509428927681,32773709748239,3.3299749656842e+14,19.637185929648,1317.7432190042,20.26,19.637185929648,0
85388814135254,74518250497440,32786064156531,3.3307627737192e+14,19.754773869347,1325.7824500564,20.26,19.754773869347,0
85271704252378,74528700188567,32800734532318,3.3317461713702e+14,19.872361809045,1327.1177068344,20.26,19.872361809045,0
85115240875137,74542262990735,32819727382971,3.3330922576111e+14,19.989949748744,1315.8841761668,20.26,19.989949748744,0
84939418290750,74557367353604,32840894431989,3.3346203872978e+14,20.107537688442,1298.323992072,20.26,20.107537688442,0
84735948940572,74574684869226,32865091384843,3.3364036587991e+14,20.225125628141,1272.0624951904,20.26,20.225125628141,0
84497516903621,74594881769765,32893173440952,3.3385119263433e+14,20.342713567839,1234.5381395624,20.26,20.342713567839,0
84227213008275,74617703384012,32924783254839,3.3409179980969e+14,20.460301507538,1187.0167610038,20.26,20.460301507538,0
83930926303320,74642747299089,32959268650661,3.34356672848e+14,20.577889447236,1131.2395291802,20.26,20.577889447236,0
83609280895840,74669993219490,32996602939552,3.3464529912479e+14,20.695477386935,1067.1988701453,20.26,20.695477386935,0
78653473352853,74758848642280,33343783181776,3.3935841185952e+14,12.346733668342,951.34057752766,20.26,12.346733668342,0
79994000489393,74691540139696,33203883149897,3.3815181789422e+14,13.522613065327,1013.9605274414,20.26,13.522613065327,0
78032511152310,74804105308876,33405823302490,3.3974825132883e+14,11.053266331658,928.2114257114,20.26,11.053266331658,0
78032822378725,74800968345286,33404466465997,3.3974243618232e+14,11.170854271357,923.12195923827,20.26,11.170854271357,0
78045783894884,74797616096149,33402433062126,3.3973113447156e+14,11.288442211055,923.01182790508,20.26,11.288442211055,0
78069850323750,74793940468288,33399718544465,3.3971559123496e+14,11.406030150754,923.00081422755,20.26,11.406030150754,0
78104415142389,74790328882354,33396449963861,3.3969653617701e+14,11.523618090452,922.99999931667,20.26,11.523618090452,0
78148739773434,74786880705859,33392691296713,3.3967460243299e+14,11.641206030151,922.99999930936,20.26,11.641206030151,0
78202804095790,74783414290833,33388467840672,3.3965068686133e+14,11.758793969849,922.99944522768,20.26,11.758793969849,0
78266205298747,74779117384148,33383727506470,3.3962641487369e+14,11.876381909548,923.33291537122,20.26,11.876381909548,0
78341771205069,74775418891571,33376811911601,3.395850437988e+14,11.993969849246,925.83701413675,20.26,11.993969849246,0
78431023942191,74771202934726,33367879473112,3.3952687937315e+14,12.111557788945,931.44153452103,20.26,12.111557788945,0
78535010743033,74765741445905,33356761859945,3.3945062397442e+14,12.229145728643,940.59929500402,20.26,12.229145728643,0
83266553196047,74698265696186,33035009096793,3.3494200384894e+14,20.813065326633,1019.8535664977,20.26,20.813065326633,0
78779191670774,74751335778650,33329719168753,3.3925520410391e+14,12.46432160804,967.7351201975,20.26,12.46432160804,0
78906437454771,74744042693919,33315668048992,3.3914835696557e+14,12.581909547739,982.01543504588,20.26,12.581909547739,0
80138799671764,74685293851148,33189931327371,3.3800949870122e+14,13.640201005025,1007.6793551392,20.26,13.640201005025,0
80285101319438,74679092462360,33175985194470,3.3786335082276e+14,13.757788944724,998.92097568247,20.26,13.757788944724,0
80432614497156,74672823175952,33162019360937,3.3771427643696e+14,13.875376884422,988.12444363525,20.26,13.875376884422,0
80582337923595,74666570213842,33147937586517,3.3755934832436e+14,13.992964824121,974.05424078878,20.26,13.992964824121,0
80732985845131,74660430115195,33133680862186,3.3739939433099e+14,14.110552763819,957.25399771559,20.26,14.110552763819,0
80885020299634,74653902887493,33119232497117,3.3723524857658e+14,14.228140703518,939.67337191726,20.26,14.228140703518,0
81051270889393,74646873351925,33103129233611,3.3705227396554e+14,14.345728643216,924.37846980976,20.26,14.345728643216,0
81226020107918,74640512388498,33090497553249,3.3691385406079e+14,14.463316582915,923.04663864482,20.26,14.463316582915,0
81410233540388,74633587390876,33077687701549,3.3677749218441e+14,14.580904522613,923.00564922996,20.26,14.580904522613,0
84925419729252,74525250119905,32796659236278,3.3362159052566e+14,17.755778894472,925.10928001951,20.26,17.755778894472,0
84470410846113,74510710742133,32806144221605,3.3432350407536e+14,16.34472361809,1132.5533068958,20.26,16.34472361809,0
84594473196771,74506684125097,32794491545095,3.3419683341985e+14,16.462311557789,1138.7259987454,20.26,16.462311557789,0
84701696821668,74503750168818,32784960970842,3.3408398522349e+14,16.579899497487,1139.769779302,20.26,16.579899497487,0
84785837642540,74502275464183,32778344567602,3.3399023667626e+14,16.697487437186,1133.6978031528,20.26,16.697487437186,0
84856700654918,74501601405377,32773448888718,3.3390749700358e+14,16.815075376884,1123.4210725174,20.26,16.815075376884,0
84910962193243,74501880820931,32770769359418,3.3383804987963e+14,16.932663316583,1107.7521287389,20.26,16.932663316583,0
84942299832732,74503659735794,32770937189887,3.337873363261e+14,17.050251256281,1085.1624831867,20.26,17.050251256281,0
84962653444681,74506022231247,32772683309768,3.3374499563231e+14,17.16783919598,1058.5643498427,20.26,17.16783919598,0
84970986196335,74509074539149,32776050316307,3.3371199244734e+14,17.285427135678,1028.2921817104,20.26,17.285427135678,0
84958809261055,74513496466752,32782125383620,3.3369397640721e+14,17.403015075377,991.69905838684,20.26,17.403015075377,0
84944025254162,74517888144404,32788533943434,3.3367612884833e+14,17.520603015075,961.05104966616,20.26,17.520603015075,0
84930477469000,74522206182744,32793564206614,3.3365180328353e+14,17.638190954774,937.82733326368,20.26,17.638190954774,0
84332741424429,74515577761308,32819549695124,3.3446145453214e+14,16.227135678392,1122.1627841413,20.26,16.227135678392,0
84928033860313,74525952109991,32798843053995,3.3360151201057e+14,17.873366834171,922.76943303361,20.26,17.873366834171,0
84938296466879,74526060819635,32800207462060,3.3358069609775e+14,17.990954773869,923.01235512572,20.26,17.990954773869,0
