group1,group2,group3,group4,id,x,y,z
1.0447603143985e+16,1.1900548698336e+16,5.1452465403834e+15,2.1555231716392e+16,0,0,1.625,0
1.0452771990549e+16,1.1900586061421e+16,5.1440682455834e+15,2.1549725456577e+16,0.27373737373737,0.27373737373737,1.625,0
1.0466739079347e+16,1.1900681802434e+16,5.1408892332653e+15,2.1534883131744e+16,0.54747474747475,0.54747474747475,1.625,0
1.0490475394696e+16,1.1900826581043e+16,5.1355025586752e+15,2.1509779254489e+16,0.82121212121212,0.82121212121212,1.625,0
1.0523721394285e+16,1.1900990629571e+16,5.1279937703711e+15,2.1474884889405e+16,1.0949494949495,1.0949494949495,1.625,0
1.0565994531329e+16,1.190113933928e+16,5.1185048189662e+15,2.1430943947625e+16,1.3686868686869,1.3686868686869,1.625,0
1.0618176127812e+16,1.1901220644927e+16,5.1068874364805e+15,2.1377413658835e+16,1.6424242424242,1.6424242424242,1.625,0
1.0679708618354e+16,1.1901177060375e+16,5.0933172658656e+15,2.1315256330643e+16,1.9161616161616,1.9161616161616,1.625,0
1.0749204827587e+16,1.190109833934e+16,5.078116498641e+15,2.1245620352712e+16,2.189898989899,2.189898989899,1.625,0
1.0825531379833e+16,1.1901279126707e+16,5.0618772782781e+15,2.1169780495192e+16,2.4636363636364,2.4636363636364,1.625,0
1.0908814820452e+16,1.1901692029626e+16,5.0446552220442e+15,2.1087903076578e+16,2.7373737373737,2.7373737373737,1.625,0
1.0998789841171e+16,1.1902239737487e+16,5.0264018616402e+15,2.1000019988575e+16,3.0111111111111,3.0111111111111,1.625,0
1.1095328166313e+16,1.1902837108131e+16,5.0071094804556e+15,2.0906326069877e+16,3.2848484848485,3.2848484848485,1.625,0
1.1198503806869e+16,1.1903398027382e+16,4.986724757897e+15,2.080676523834e+16,3.5585858585859,3.5585858585859,1.625,0
1.1308404536226e+16,1.1903824073073e+16,4.96517918863e+15,2.0701218082982e+16,3.8323232323232,3.8323232323232,1.625,0
1.1425905498695e+16,1.1903991699459e+16,4.9423234568905e+15,2.0589193002991e+16,4.1060606060606,4.1060606060606,1.625,0
1.1550207847306e+16,1.1903811088857e+16,4.9181977285962e+15,2.0471164559254e+16,4.379797979798,4.379797979798,1.625,0
1.1680780988465e+16,1.1903341794605e+16,4.8928267078055e+15,2.0346971190924e+16,4.6535353535354,4.6535353535354,1.625,0
1.1819191782804e+16,1.1902515324392e+16,4.8660824180671e+15,2.0215685525542e+16,4.9272727272727,4.9272727272727,1.625,0
1.1965457577846e+16,1.1901193030267e+16,4.8379402134586e+15,2.0077543464628e+16,5.2010101010101,5.2010101010101,1.625,0
1.2119540126793e+16,1.1899233358739e+16,4.8083505884828e+15,1.9932629713948e+16,5.4747474747475,5.4747474747475,1.625,0
1.2282004365865e+16,1.1896436380772e+16,4.7771667201003e+15,1.978061807505e+16,5.7484848484848,5.7484848484848,1.625,0
1.2452490898564e+16,1.1892685914309e+16,4.7444048069276e+15,1.9621905127586e+16,6.0222222222222,6.0222222222222,1.625,0
1.2631879747747e+16,1.1887725167618e+16,4.7098522482963e+15,1.945597168677e+16,6.2959595959596,6.2959595959596,1.625,0
1.2821014899368e+16,1.1881221627289e+16,4.673242219038e+15,1.9282123990517e+16,6.569696969697,6.569696969697,1.625,0
1.3010858752238e+16,1.1873942386396e+16,4.6356755586315e+15,1.9104283128256e+16,6.8434343434343,6.8434343434343,1.625,0
1.3199034791466e+16,1.1866949293422e+16,4.5987870606798e+15,1.8927374660691e+16,7.1171717171717,7.1171717171717,1.625,0
1.3386457043412e+16,1.1860126204154e+16,4.5626597391252e+15,1.875163079268e+16,7.3909090909091,7.3909090909091,1.625,0
1.3573521385835e+16,1.1853231214816e+16,4.5270244131146e+15,1.8576558486484e+16,7.6646464646465,7.6646464646465,1.625,0
1.3760691830804e+16,1.184605451331e+16,4.4917406818268e+15,1.8401863784655e+16,7.9383838383838,7.9383838383838,1.625,0
1.3948377187173e+16,1.1838392364924e+16,4.4566665784299e+15,1.8227246102809e+16,8.2121212121212,8.2121212121212,1.625,0
1.4137024684938e+16,1.182998377407e+16,4.4216759094829e+15,1.8052408537572e+16,8.4858585858586,8.4858585858586,1.625,0
1.4327280955955e+16,1.1820602265043e+16,4.3865636106383e+15,1.7876831882638e+16,8.759595959596,8.759595959596,1.625,0
1.4516479483525e+16,1.1810171335251e+16,4.3514113299139e+15,1.7701149091827e+16,9.0333333333333,9.0333333333333,1.625,0
1.4694681103134e+16,1.1800282807421e+16,4.3179853192501e+15,1.7533008057772e+16,9.3070707070707,9.3070707070707,1.625,0
1.4862909486226e+16,1.1791234787478e+16,4.2867424301714e+15,1.7374525493645e+16,9.5808080808081,9.5808080808081,1.625,0
1.5020274212715e+16,1.1782894240851e+16,4.2578183969987e+15,1.7226579632918e+16,9.8545454545455,9.8545454545455,1.625,0
1.5168403974363e+16,1.1774986592826e+16,4.230820795073e+15,1.7087607617308e+16,10.128282828283,10.128282828283,1.625,0
1.530785871259e+16,1.1767337439398e+16,4.2055971854065e+15,1.6957093527106e+16,10.40202020202,10.40202020202,1.625,0
1.5439073964822e+16,1.1759824577158e+16,4.1820427466334e+15,1.6834670319583e+16,10.675757575758,10.675757575758,1.625,0
1.5562088251709e+16,1.1752201878332e+16,4.1600831311612e+15,1.6720265288341e+16,10.949494949495,10.949494949495,1.625,0
1.5677508719137e+16,1.1744376899329e+16,4.1396035279169e+15,1.6613364345523e+16,11.223232323232,11.223232323232,1.625,0
1.5779533376897e+16,1.1737003083251e+16,4.1213679040939e+15,1.6517915374283e+16,11.49696969697,11.49696969697,1.625,0
1.5867210351296e+16,1.1730666346486e+16,4.1056652724135e+15,1.643606329492e+16,11.770707070707,11.770707070707,1.625,0
1.5939162888477e+16,1.1725331684679e+16,4.0926820280687e+15,1.636908772283e+16,12.044444444444,12.044444444444,1.625,0
1.5997165881089e+16,1.1720891093686e+16,4.0821561746601e+15,1.6315445557199e+16,12.318181818182,12.318181818182,1.625,0
